Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1",".01u","C_0603_1608Metric",36.054995,21.590000,0.000000,top
"C2",".01u","C_0603_1608Metric",41.275000,21.590000,0.000000,top
"C3",".01u","C_0603_1608Metric",38.899998,7.149998,180.000000,top
"C4",".01u","C_0603_1608Metric",33.819998,7.149998,180.000000,top
"C5",".0047u","C_0603_1608Metric",26.670000,10.033000,0.000000,top
"C6","330p","C_0603_1608Metric",23.495991,10.033000,0.000000,top
"C7",".0022u","C_0603_1608Metric",26.670000,6.604000,180.000000,top
"C8",".01u","C_0603_1608Metric",67.310000,23.879988,0.000000,top
"C9",".01u","C_0603_1608Metric",72.390000,23.840008,0.000000,top
"C10","1u","C_0603_1608Metric",85.090000,97.790000,0.000000,top
"C11","1u","C_0603_1608Metric",77.470000,97.790000,0.000000,top
"C12",".01u","C_0603_1608Metric",77.470000,95.250000,0.000000,top
"C13",".01u","C_0603_1608Metric",85.090000,95.250000,0.000000,top
"C14","100uF","C_1210_3225Metric",77.470000,102.870000,0.000000,top
"C15","100uF","C_1210_3225Metric",85.090000,102.870000,0.000000,top
"C16","100uF","C_1210_3225Metric",36.830000,24.130000,0.000000,top
"C17","100uF","C_1210_3225Metric",41.910000,24.130000,0.000000,top
"C18","100uF","C_1210_3225Metric",38.900000,10.960000,180.000000,top
"C19","100uF","C_1210_3225Metric",33.820000,10.960000,180.000000,top
"C20","100uF","C_1210_3225Metric",67.310000,27.940000,0.000000,top
"C21","100uF","C_1210_3225Metric",72.390000,27.940000,0.000000,top
"Cam_Input1","50k","Potentiometer_Bourns_3296W_Vertical",20.320000,66.050000,90.000000,top
"Cam_Output1","50k","Potentiometer_Bourns_3296W_Vertical",12.446000,66.040000,90.000000,top
"D1","PEWPEWPEW","D_0603_1608Metric",30.480000,73.660000,90.000000,top
"D2","Clear Fault","D_0603_1608Metric",27.940000,73.660000,90.000000,top
"D3","LAZOR?","D_0603_1608Metric",20.320000,73.660000,90.000000,top
"D4","LAZOR!!!","D_0603_1608Metric",25.400000,73.660000,90.000000,top
"D5","Fault","D_0603_1608Metric",22.860000,73.660000,90.000000,top
"FB1","GZ2012D601TF","R_0805_2012Metric",39.534998,3.974998,-90.000000,top
"FB2","GZ2012D601TF","R_0805_2012Metric",36.359998,3.974998,90.000000,top
"FB3","GZ2012D601TF","R_0805_2012Metric",33.184998,3.974998,-90.000000,top
"GalvoA_Gain1","50k","Potentiometer_Bourns_3296W_Vertical",88.890000,40.640000,180.000000,top
"GalvoA_Offset1","50k","Potentiometer_Bourns_3296W_Vertical",88.900000,48.260000,180.000000,top
"GalvoB_Gain1","50k","Potentiometer_Bourns_3296W_Vertical",76.698000,40.640000,180.000000,top
"GalvoB_Offset1","50k","Potentiometer_Bourns_3296W_Vertical",76.200000,48.260000,180.000000,top
"InputA_Gain1","50k","Potentiometer_Bourns_3296W_Vertical",53.340000,43.180000,-90.000000,top
"InputA_offset1","50k","Potentiometer_Bourns_3296W_Vertical",48.879600,31.445200,0.000000,top
"InputB_Gain1","50k","Potentiometer_Bourns_3296W_Vertical",60.858400,43.180000,-90.000000,top
"InputB_offset1","50k","Potentiometer_Bourns_3296W_Vertical",61.478000,31.369000,0.000000,top
"J1","Conn_POS_input_B","PinHeader_1x03_P2.54mm_Vertical",61.570000,0.000000,90.000000,top
"J2","Conn_POS_input_A","PinHeader_1x03_P2.54mm_Vertical",47.615000,0.000000,90.000000,top
"J3","Conn_01x40_Male","PinHeader_2x20_P2.54mm_Vertical",7.620000,128.265000,90.000000,top
"J4","Conn_01x04_Cam_Trigger","PinHeader_1x04_P2.54mm_Vertical",0.000000,74.920000,0.000000,top
"J5","Conn_ADC","PinHeader_2x02_P2.54mm_Vertical",81.280000,67.310000,90.000000,top
"J6","Conn_DAC","PinHeader_1x03_P2.54mm_Vertical",73.675000,69.850000,90.000000,top
"J7","Conn_LED_PWM","PinHeader_1x02_P2.54mm_Vertical",3.810000,13.970000,180.000000,top
"J8","Conn_Galvo_Power","PinHeader_1x03_P2.54mm_Vertical",33.909000,0.000000,90.000000,top
"J9","Conn_Galvo_A","PinHeader_1x03_P2.54mm_Vertical",88.900000,10.160000,90.000000,top
"J10","Conn_Galvo_B","PinHeader_1x03_P2.54mm_Vertical",73.660000,15.240000,90.000000,top
"J11","Conn_OLED","PinHeader_1x04_P2.54mm_Vertical",0.000000,107.960000,180.000000,top
"J12","Conn_LED_CTL","PinHeader_1x02_P2.54mm_Vertical",20.320000,0.000000,90.000000,top
"J13","Conn_Laser_Trigger","PinHeader_1x02_P2.54mm_Vertical",0.000000,127.000000,0.000000,top
"J14","Conn_POS_input_A","PinHeader_1x03_P2.54mm_Vertical",47.615000,5.080000,90.000000,top
"J15","Conn_POS_input_B","PinHeader_1x03_P2.54mm_Vertical",61.570000,5.080000,90.000000,top
"J16","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",47.600006,10.154996,90.000000,top
"J17","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",64.110006,10.160000,90.000000,top
"J18","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",53.950006,53.340000,90.000000,top
"J19","Conn_ADC","PinHeader_1x04_P2.54mm_Vertical",61.570000,60.960000,-90.000000,top
"J20","Conn_DAC","PinHeader_1x03_P2.54mm_Vertical",88.900000,60.960000,-90.000000,top
"J21","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",86.360000,55.880000,-90.000000,top
"J22","Conn_01x03_Amp_power","PinHeader_1x03_P2.54mm_Vertical",33.835000,16.040000,90.000000,top
"J23","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",78.740000,22.860000,-90.000000,top
"J24","Conn_02x02_Odd_Even","PinHeader_2x02_P2.54mm_Vertical",93.980000,22.860000,-90.000000,top
"J25","Conn_Galvo_A","PinHeader_1x03_P2.54mm_Vertical",88.900000,15.240000,90.000000,top
"J26","Conn_Galvo_B","PinHeader_1x03_P2.54mm_Vertical",73.660000,10.160000,90.000000,top
"J27","Conn_01x40_Male","PinHeader_2x20_P2.54mm_Vertical",7.620000,137.160000,90.000000,top
"J28","Conn_01x06_FTDI","PinHeader_1x06_P2.54mm_Vertical",0.000000,95.250000,0.000000,top
"LED_Trigger1","50k","Potentiometer_Bourns_3296W_Vertical",8.890000,8.890000,0.000000,top
"Prog1","50k","Potentiometer_Bourns_3296W_Vertical",55.372000,95.758000,-90.000000,top
"Q1","MMBT3904","SOT-23",52.832000,105.410000,90.000000,top
